net_return,profit_factor,max_dd,n_trades,window_start,window_months
-0.0018595614935674742,1.9716485825014625,0.0031183606147902054,10,2024-01,1
-0.007483244797265809,0.6976424827995064,0.008557110627553044,10,2024-02,1
0.014162826839122067,4.122862438177908,0.004805063070889378,26,2024-03,1
-0.00989168005840646,0.22686455899799404,0.010382134245305085,10,2024-04,1
0.01956826417512314,3.3935964525782674,0.004630150691712129,23,2024-05,1
-0.0019866211121138955,1.363241535231709,0.004785068884960553,10,2024-06,1
-0.0034648702748139026,0.46697518558942813,0.0035142923836382067,10,2024-07,1
-0.0010495715619988077,0.9144342362918633,0.005461471908868809,10,2024-08,1
-0.0017062664866172028,1.1532705809769759,0.004565086527965159,16,2024-09,1
0.008205887424186153,3.2414477429560042,0.0029018935835780596,21,2024-10,1
0.018451590309483512,4.390672357979947,0.006305583153448108,32,2024-11,1
-0.029400211533723186,0.2561953539540109,0.03274391311015685,12,2024-12,1
