month,net_return,n_trades,max_dd,avg_vol_6,avg_trend_strength,avg_return_dispersion,good_month
2024-01,0.005232607000414502,27,0.004725094547362805,0.00019393836860890056,0.0005570097045532,0.0005775224718467235,1
2024-02,-0.006711594204262705,32,0.008557110627553044,0.00016016277307634444,0.00045291125018397126,0.0005238856632980222,0
2024-03,0.014162826839122067,26,0.004805063070889378,0.00013376693395255966,0.0003870815285229788,0.0004146238275748382,1
2024-04,-0.019965657864408737,38,0.020634803874530885,0.0001743062528654526,0.0005078857576883185,0.0005567848892448985,0
2024-05,0.019154900488095983,35,0.004630150691712129,0.00013653159746009438,0.0004007681201536558,0.0004439232989545739,1
2024-06,-0.0004497051727140322,29,0.004785068884960553,0.00015519273304716956,0.00045896610885436893,0.0005146613828013225,0
2024-07,-0.009333853526904745,33,0.010810660303917086,0.00013547462343658617,0.0003810245062985446,0.0003994576423755642,0
2024-08,-0.0045046389963834255,34,0.005461471908868809,0.00016993916428674285,0.0004975920330284223,0.0005523227026800438,0
2024-09,-0.0006498522089822822,29,0.01218035381543812,0.000175726285955985,0.0005280000280972622,0.0005684289020383074,0
2024-10,0.008205887424186153,21,0.0029018935835780596,0.00015805670446880006,0.0004318821345311104,0.00046487948382661985,1
2024-11,0.018451590309483512,32,0.006305583153448108,0.00026493086919885625,0.0007864091239619258,0.0008538949495649204,1
2024-12,-0.026765936076983188,22,0.033148517548945634,0.0002293565998578581,0.0006287998633842214,0.0006829267540816127,0
