top_pct,pred_threshold,vol_pct,min_bars_between,gross_return,net_return,n_trades,max_dd,profit_factor
0.2,4e-05,15,0,0.10194348976180834,0.03652340089159378,598,0.03624171083212114,1.3153707661507021
0.2,4e-05,20,0,0.10070406128094955,0.03411580873966935,610,0.03624171083212106,1.3068203270067997
0.2,4e-05,25,0,0.09806430958552359,0.031223159199237127,614,0.0362417108321209,1.2956446827423054
0.2,5e-05,15,0,0.10194348976180834,0.03652340089159378,598,0.03624171083212114,1.3153707661507021
0.2,5e-05,20,0,0.10070406128094955,0.03411580873966935,610,0.03624171083212106,1.3068203270067997
0.2,5e-05,25,0,0.09806430958552359,0.031223159199237127,614,0.0362417108321209,1.2956446827423054
0.2,6e-05,15,0,0.10194348976180834,0.03652340089159378,598,0.03624171083212114,1.3153707661507021
0.2,6e-05,20,0,0.10070406128094955,0.03411580873966935,610,0.03624171083212106,1.3068203270067997
0.2,6e-05,25,0,0.09806430958552359,0.031223159199237127,614,0.0362417108321209,1.2956446827423054
0.25,4e-05,15,0,0.12745565645180368,0.049338202637013495,699,0.039265746335261455,1.32430195065408
0.25,4e-05,20,0,0.13472084472191215,0.053779029396524125,721,0.0392657463352617,1.3350824493447346
0.25,4e-05,25,0,0.13754720093034223,0.05555894890592672,729,0.03926574633526196,1.3382561351714892
0.25,5e-05,15,0,0.12745565645180368,0.049338202637013495,699,0.039265746335261455,1.32430195065408
0.25,5e-05,20,0,0.13472084472191215,0.053779029396524125,721,0.0392657463352617,1.3350824493447346
0.25,5e-05,25,0,0.13754720093034223,0.05555894890592672,729,0.03926574633526196,1.3382561351714892
0.25,6e-05,15,0,0.12745565645180368,0.049338202637013495,699,0.039265746335261455,1.32430195065408
0.25,6e-05,20,0,0.13472084472191215,0.053779029396524125,721,0.0392657463352617,1.3350824493447346
0.25,6e-05,25,0,0.13754720093034223,0.05555894890592672,729,0.03926574633526196,1.3382561351714892
0.3,4e-05,15,0,0.11388928380484886,0.02107210645825175,846,0.04497221300046096,1.2375255617660375
0.3,4e-05,20,0,0.12023081613988662,0.024628440263113616,868,0.04497221300046023,1.2450102634551767
0.3,4e-05,25,0,0.12311674241491133,0.026651869975291786,874,0.04497221300046062,1.2485031088076881
0.3,5e-05,15,0,0.11388928380484886,0.02107210645825175,846,0.04497221300046096,1.2375255617660375
0.3,5e-05,20,0,0.12023081613988662,0.024628440263113616,868,0.04497221300046023,1.2450102634551767
0.3,5e-05,25,0,0.12311674241491133,0.026651869975291786,874,0.04497221300046062,1.2485031088076881
0.3,6e-05,15,0,0.11388928380484886,0.02107210645825175,846,0.04497221300046096,1.2375255617660375
0.3,6e-05,20,0,0.12023081613988662,0.024628440263113616,868,0.04497221300046023,1.2450102634551767
0.3,6e-05,25,0,0.12311674241491133,0.026651869975291786,874,0.04497221300046062,1.2485031088076881
