net_return,profit_factor,max_dd,n_trades,window_start,window_months
0.011868274848406912,2.286562134985036,0.01012366431628009,10,2024-01,1
-0.005021094498695922,0.10292777729604506,0.005021094498695922,6,2024-02,1
0.016074003951895843,inf,9.999999999997581e-05,6,2024-03,1
0.03404714488557037,inf,0.00010000000000006831,6,2024-04,1
0.007435007836074314,1.7933246268832008,0.008625079245469087,12,2024-05,1
-0.007391711503339726,0.08703299653445294,0.007955713585140398,4,2024-06,1
0.005782816672550206,inf,9.999999999998626e-05,8,2024-07,1
-0.015890377168220615,0.06592159526820617,0.015970149146517287,10,2024-08,1
0.03245461227237656,22.488014697206026,0.001835842073250998,10,2024-09,1
-0.0008038656656871312,0.8839335938031292,0.001880869068763391,6,2024-10,1
0.01650908846416832,inf,0.00010000000000003568,8,2024-11,1
0.023308567463668384,2.8581891550376217,0.013024020691962531,10,2024-12,1
0.005528257804167325,7.375947483670328,0.0006774784176726335,12,2025-01,1
0.0029403829400975745,2.3370098375445885,0.002799161836632023,8,2025-02,1
0.004704845460959062,5.418828786504679,0.0018509044053566237,14,2025-03,1
0.029089197436778846,3.980178883794937,0.00737331512678192,14,2025-04,1
0.003924757057644168,1.7929115522920738,0.004817980980093385,20,2025-05,1
0.013637474097981883,8.38525354109976,0.0015739173834016299,10,2025-06,1
-0.004514978462431429,0.2976119403027904,0.005745184675134076,6,2025-07,1
-0.012783810117940053,0.40821248407064725,0.01935389040305746,12,2025-08,1
-0.019348650070713735,0.054950555459886315,0.01950085277550684,8,2025-09,1
0.004885854613564167,4.005447937728552,0.0014602447844479505,10,2025-10,1
-0.009144392909377408,0.0,0.009144392909377408,4,2025-11,1
-0.005756817530753189,0.04398957004223883,0.005756817530753189,4,2025-12,1
0.0,0.0,0.0,0,2026-01,1
0.0,0.0,0.0,0,2026-02,1
-0.0031991036405929485,0.6946679192750739,0.007470320001302998,10,2026-03,1
