top_pct,pred_threshold,vol_pct,min_bars_between,gross_return,net_return,n_trades,max_dd,profit_factor
0.25,5e-05,20,0,0.13472084472191215,0.053779029396524125,721,0.0392657463352617,1.3350824493447346
0.25,5e-05,30,0,0.1300124461197767,0.047100218137739125,743,0.03926574633526135,1.312273247431081
0.25,5e-05,40,0,0.13323109340282424,0.04819416101538376,761,0.039055879749103545,1.3174942834232637
0.25,8e-05,20,0,0.13472084472191215,0.053779029396524125,721,0.0392657463352617,1.3350824493447346
0.25,8e-05,30,0,0.1300124461197767,0.047100218137739125,743,0.03926574633526135,1.312273247431081
0.25,8e-05,40,0,0.13323109340282424,0.04819416101538376,761,0.039055879749103545,1.3174942834232637
0.25,0.0001,20,0,0.13472084472191215,0.053779029396524125,721,0.0392657463352617,1.3350824493447346
0.25,0.0001,30,0,0.1300124461197767,0.047100218137739125,743,0.03926574633526135,1.312273247431081
0.25,0.0001,40,0,0.13323109340282424,0.04819416101538376,761,0.039055879749103545,1.3174942834232637
0.5,5e-05,20,0,0.14801577841016456,-0.01091310384008215,1422,0.05199980220775332,1.1819290929415196
0.5,5e-05,30,0,0.14223193562045622,-0.022565780535880653,1490,0.05248304871071961,1.1696548783264846
0.5,5e-05,40,0,0.1418165833140097,-0.02701653657476355,1532,0.052077705131923495,1.1662871522080793
0.5,8e-05,20,0,0.14801577841016456,-0.01091310384008215,1422,0.05199980220775332,1.1819290929415196
0.5,8e-05,30,0,0.14223193562045622,-0.022565780535880653,1490,0.05248304871071961,1.1696548783264846
0.5,8e-05,40,0,0.1418165833140097,-0.02701653657476355,1532,0.052077705131923495,1.1662871522080793
0.5,0.0001,20,0,0.14801577841016456,-0.01091310384008215,1422,0.05199980220775332,1.1819290929415196
0.5,0.0001,30,0,0.14223193562045622,-0.022565780535880653,1490,0.05248304871071961,1.1696548783264846
0.5,0.0001,40,0,0.1418165833140097,-0.02701653657476355,1532,0.052077705131923495,1.1662871522080793
1.0,5e-05,20,0,0.13355214164635343,-0.15113918058649878,2715,0.07120711353207153,1.0902607066517906
1.0,5e-05,30,0,0.12482423041025448,-0.1728675069749196,2894,0.07648728745298014,1.0809028755872794
1.0,5e-05,40,0,0.12957759241759037,-0.17928061176675858,3014,0.08068740342508318,1.0821709899836547
1.0,8e-05,20,0,0.13355214164635343,-0.15113918058649878,2715,0.07120711353207153,1.0902607066517906
1.0,8e-05,30,0,0.12482423041025448,-0.1728675069749196,2894,0.07648728745298014,1.0809028755872794
1.0,8e-05,40,0,0.12957759241759037,-0.17928061176675858,3014,0.08068740342508318,1.0821709899836547
1.0,0.0001,20,0,0.13355214164635343,-0.15113918058649878,2715,0.07120711353207153,1.0902607066517906
1.0,0.0001,30,0,0.12482423041025448,-0.1728675069749196,2894,0.07648728745298014,1.0809028755872794
1.0,0.0001,40,0,0.12957759241759037,-0.17928061176675858,3014,0.08068740342508318,1.0821709899836547
