net_return,profit_factor,max_dd,n_trades,window_start,window_months
0.006738769307744974,1.7202106125746066,0.007777702908849715,18,2024-01,2
0.07571426072903398,inf,9.999999999997684e-05,10,2024-03,2
-0.004602113099112293,0.8644813767410492,0.01070274260706551,14,2024-05,2
-0.011081330295239167,0.46873430063445054,0.016945201624000324,22,2024-07,2
0.03548493782288231,20.4821122903373,0.0018358420732510893,14,2024-09,2
0.04673521547792525,5.048437261002631,0.011574148465649345,16,2024-11,2
0.0074325346299983774,3.1318714281671602,0.002799161836631846,18,2025-01,2
0.0653494581987657,5.9384766570344665,0.0073733151267821,26,2025-03,2
0.016932273726723457,3.0751430708996343,0.004817980980093385,28,2025-05,2
-0.016124346056111905,0.43377326247667963,0.024987883403643784,16,2025-07,2
-0.016140315272388572,0.3819132702738654,0.02235362927647422,18,2025-09,2
-0.01925557486197671,0.01351767308773104,0.01925557486197671,14,2025-11,2
0.0,0.0,0.0,0,2026-01,2
