strategy_id,mode,timestamp,signal,action_from_model,action_taken,sim_equity,sim_position_after,bar_return,broker_response,run_at
classifier_v1,sim,2026-03-16 23:30:00 UTC,FLAT,NONE,NONE,1.000000,flat,0.00002609,"{""skipped"": ""no_action""}",2026-03-18 18:20:16
regression_v1,sim,2024-01-01 22:55:00+00:00,FLAT,NONE,NONE,1.000000,flat,0.00002717,"{""skipped"": ""no_action""}",2026-03-18 18:20:16
classifier_v1,sim,2026-03-16 23:30:00 UTC,FLAT,NONE,NONE,1.000000,flat,0.00002609,"{""skipped"": ""no_action""}",2026-03-18 18:22:20
regression_v1,sim,2024-01-01 23:00:00+00:00,FLAT,NONE,NONE,1.000000,flat,-0.00028070,"{""skipped"": ""no_action""}",2026-03-18 18:22:20
classifier_v1,sim,2026-03-16 23:30:00 UTC,FLAT,NONE,NONE,1.000000,flat,0.00002609,"{""skipped"": ""no_action""}",2026-03-18 18:27:29
regression_v1,sim,2024-01-01 23:05:00+00:00,FLAT,NONE,NONE,1.000000,flat,-0.00003623,"{""skipped"": ""no_action""}",2026-03-18 18:27:29
classifier_v1,sim,2026-03-16 23:30:00 UTC,FLAT,NONE,NONE,1.000000,flat,0.00002609,"{""skipped"": ""no_action""}",2026-03-18 18:32:32
regression_v1,sim,2024-01-01 23:10:00+00:00,FLAT,NONE,NONE,1.000000,flat,-0.00018115,"{""skipped"": ""no_action""}",2026-03-18 18:32:32
classifier_v1,sim,2026-03-16 23:30:00 UTC,FLAT,NONE,NONE,1.000000,flat,0.00002609,"{""skipped"": ""no_action""}",2026-03-18 18:37:35
regression_v1,sim,2024-01-01 23:15:00+00:00,FLAT,NONE,NONE,1.000000,flat,-0.00010871,"{""skipped"": ""no_action""}",2026-03-18 18:37:35
classifier_v1,sim,2026-03-16 23:30:00 UTC,FLAT,NONE,NONE,1.000000,flat,0.00002609,"{""skipped"": ""no_action""}",2026-03-18 18:42:37
regression_v1,sim,2024-01-01 23:20:00+00:00,FLAT,NONE,NONE,1.000000,flat,0.00004530,"{""skipped"": ""no_action""}",2026-03-18 18:42:37
classifier_v1,sim,2026-03-16 23:30:00 UTC,FLAT,NONE,NONE,1.000000,flat,0.00002609,"{""skipped"": ""no_action""}",2026-03-18 18:47:40
regression_v1,sim,2024-01-01 23:25:00+00:00,FLAT,NONE,NONE,1.000000,flat,0.00000000,"{""skipped"": ""no_action""}",2026-03-18 18:47:40
classifier_v1,sim,2026-03-16 23:30:00 UTC,FLAT,NONE,NONE,1.000000,flat,0.00002609,"{""skipped"": ""no_action""}",2026-03-18 18:52:43
regression_v1,sim,2024-01-01 23:30:00+00:00,FLAT,NONE,NONE,1.000000,flat,-0.00009060,"{""skipped"": ""no_action""}",2026-03-18 18:52:43
classifier_v1,sim,2026-03-16 23:30:00 UTC,FLAT,NONE,NONE,1.000000,flat,0.00002609,"{""skipped"": ""no_action""}",2026-03-18 18:57:46
regression_v1,sim,2024-01-01 23:35:00+00:00,FLAT,NONE,NONE,1.000000,flat,0.00014497,"{""skipped"": ""no_action""}",2026-03-18 18:57:46
classifier_v1,sim,2026-03-16 23:30:00 UTC,FLAT,NONE,NONE,1.000000,flat,0.00002609,"{""skipped"": ""no_action""}",2026-03-18 19:02:49
regression_v1,sim,2024-01-01 23:40:00+00:00,FLAT,NONE,NONE,1.000000,flat,-0.00013589,"{""skipped"": ""no_action""}",2026-03-18 19:02:49
classifier_v1,sim,2026-03-16 23:30:00 UTC,FLAT,NONE,NONE,1.000000,flat,0.00002609,"{""skipped"": ""no_action""}",2026-03-18 19:07:51
regression_v1,sim,2024-01-01 23:45:00+00:00,FLAT,NONE,NONE,1.000000,flat,-0.00009061,"{""skipped"": ""no_action""}",2026-03-18 19:07:51
