n,min_range,hold_bars,net_return,profit_factor,sharpe,max_dd,n_trades,cost_mult,window_start,window_months
8,0.0002,12,-0.008749894871870612,0.8581333517647283,-4.3097843696464695,0.01050486554659044,88,1.0,2024-01,1
8,0.0002,12,-0.003215770885317104,0.933088015388677,-1.4876158531829884,0.008991124415700156,84,1.0,2024-02,1
8,0.0002,12,-0.007923651627523065,0.832404747773273,-5.093412113752749,0.008519923840592965,84,1.0,2024-03,1
8,0.0002,12,-0.004097600610596497,0.9382540672085007,-1.6603651667508261,0.009758856873930803,88,1.0,2024-04,1
8,0.0002,12,-0.015866263903524302,0.7375984822369678,-6.83074851620606,0.01725276506129309,92,1.0,2024-05,1
8,0.0002,12,-0.00028193408706500556,0.9950286659581398,-0.11435787416256625,0.0058986385011877696,80,1.0,2024-06,1
8,0.0002,12,-0.02154798396053559,0.6564548300242736,-10.411989459879914,0.024042348220658406,92,1.0,2024-07,1
8,0.0002,12,-0.003239626800765616,0.9478658284233159,-1.4683748462234933,0.013165060151876934,88,1.0,2024-08,1
8,0.0002,12,-0.010796745531534868,0.8363482436745149,-4.839490951850995,0.014805152461336402,84,1.0,2024-09,1
8,0.0002,12,-0.008694746252460916,0.859925206030452,-3.5010957028706895,0.013773853948163032,92,1.0,2024-10,1
8,0.0002,12,-0.010285452413410168,0.8645813989474711,-4.135527792747627,0.01127295490248159,84,1.0,2024-11,1
8,0.0002,12,-0.0016578872456887161,0.9755584113861372,-0.6888510102316483,0.009588411816727949,84,1.0,2024-12,1
8,0.0002,12,-0.01578304618288806,0.7834676365863896,-6.806652515628231,0.018446141814622192,88,1.0,2025-01,1
8,0.0002,12,-0.003284438964962444,0.9428059037517995,-1.6850942808090534,0.011124228059100006,80,1.0,2025-02,1
8,0.0002,12,0.001368932088442909,1.0180404900110125,0.5251092612126824,0.011340569672987053,84,1.0,2025-03,1
8,0.0002,12,0.008646547157106221,1.0764365896894346,1.9499180730139631,0.00890921645468358,88,1.0,2025-04,1
8,0.0002,12,-0.002568717117035435,0.9705623158129395,-0.8394467543629254,0.012006705442283976,88,1.0,2025-05,1
8,0.0002,12,-0.0131541852028213,0.8187909803717198,-5.759336517146722,0.020675141440070533,84,1.0,2025-06,1
8,0.0002,12,-0.006535710324002353,0.910378222817149,-2.2525487502769117,0.00992804248143487,92,1.0,2025-07,1
8,0.0002,12,-0.015349186144407945,0.7940936520456571,-4.18090357800806,0.020379838432657286,84,1.0,2025-08,1
8,0.0002,12,-0.009378974263142714,0.8697276906763748,-3.6541063526966897,0.016759253636358478,88,1.0,2025-09,1
8,0.0002,12,-0.013763976179848592,0.7979534431747806,-5.614902204486559,0.017710376549706475,92,1.0,2025-10,1
8,0.0002,12,-0.00017517719428972178,0.9963261446425271,-0.11135425217901788,0.005851701243302781,80,1.0,2025-11,1
8,0.0002,12,-0.009430097292303707,0.7992688910860356,-7.082038474138532,0.012049628511524954,90,1.0,2025-12,1
8,0.0002,12,7.78020289149417e-06,1.0005116866539934,0.014863217017701451,0.007899289646472213,84,1.0,2026-01,1
8,0.0002,12,-0.004888957666097649,0.8940684499610205,-3.31605994055434,0.0062802964896677155,80,1.0,2026-02,1
8,0.0002,12,-0.0038998285849897174,0.9457381910093774,-1.7132855278883778,0.010997086398522123,80,1.0,2026-03,1
