initial_move_label,n_events,horizon_bars,horizon_min,mean_dir_ret,median_dir_ret,mean_raw_ret,hit_rate,net_dir_ret,reliable,group,event_name,trend_align_label,vol_regime
down,47,1,5,0.0005141234572899394,0.0003574734873829187,-0.0005141234572899394,1.0,0.00042378323305961117,True,overall,,,
down,47,3,15,0.0003671502929368113,0.00023862483914115166,-0.0003671502929368113,0.6808510638297872,0.00027681006870648305,True,overall,,,
down,47,6,30,0.00048491423750338965,0.0001740761873447279,-0.00048491423750338965,0.574468085106383,0.00039457401327306133,True,overall,,,
down,47,12,60,0.0002898938505631497,0.0002486874827302335,-0.0002898938505631497,0.5531914893617021,0.0001995536263328214,True,overall,,,
up,45,1,5,0.0004402238435961252,0.00020021065642976738,0.0004402238435961252,1.0,0.0003498836193657969,True,overall,,,
up,45,3,15,0.0002574802770410198,0.00010299810311817999,0.0002574802770410198,0.6222222222222222,0.00016714005281069153,True,overall,,,
up,45,6,30,0.0002399270411341646,0.00030047014740712557,0.0002399270411341646,0.5555555555555556,0.0001495868169038363,True,overall,,,
up,45,12,60,-0.00029133535120807704,-7.722305880543652e-05,-0.00029133535120807704,0.4888888888888889,-0.0003816755754384053,True,overall,,,
down,4,1,5,0.00021985848158994449,0.00025176600748777955,-0.00021985848158994449,1.0,0.0001295182573596162,False,by_event_type,BoE,,
down,4,3,15,9.555265851748159e-05,7.834735863690763e-05,-9.555265851748159e-05,0.75,5.212434287153294e-06,False,by_event_type,BoE,,
down,4,6,30,0.000517582749262219,0.0008015882189066222,-0.000517582749262219,0.75,0.0004272425250318908,False,by_event_type,BoE,,
down,4,12,60,0.0009988666267080207,0.0007555894966206011,-0.0009988666267080207,0.5,0.0009085264024776924,False,by_event_type,BoE,,
up,8,1,5,0.0001268220674995339,8.520550946048967e-05,0.0001268220674995339,1.0,3.6481843269205595e-05,True,by_event_type,BoE,,
up,8,3,15,0.00033663716682019913,0.000410781546196364,0.00033663716682019913,0.625,0.00024629694258987086,True,by_event_type,BoE,,
up,8,6,30,0.0003528992517016512,0.0002424812760028031,0.0003528992517016512,0.625,0.00026255902747132295,True,by_event_type,BoE,,
up,8,12,60,0.0006563404045629883,0.0009227052040913883,0.0006563404045629883,0.75,0.00056600018033266,True,by_event_type,BoE,,
down,18,1,5,0.0005010301614418624,0.0003371470855266932,-0.0005010301614418624,1.0,0.0004106899372115342,True,by_event_type,CPI,,
down,18,3,15,0.00027194134543062095,-1.4259302260820438e-05,-0.00027194134543062095,0.5,0.00018160112120029265,True,by_event_type,CPI,,
down,18,6,30,0.00048182481351911736,-1.4279028921302314e-05,-0.00048182481351911736,0.5,0.0003914845892887891,True,by_event_type,CPI,,
down,18,12,60,0.0002225170663585925,0.0003742395135190771,-0.0002225170663585925,0.7222222222222222,0.0001321768421282642,True,by_event_type,CPI,,
up,6,1,5,0.0003192648465034608,0.0001601291486654217,0.0003192648465034608,1.0,0.0002289246222731325,True,by_event_type,CPI,,
up,6,3,15,-0.0002723452815201677,-0.0004635616255392723,-0.0002723452815201677,0.5,-0.000362685505750496,True,by_event_type,CPI,,
up,6,6,30,-0.000982728602671458,-0.0009106721779568673,-0.000982728602671458,0.16666666666666666,-0.0010730688269017863,True,by_event_type,CPI,,
up,6,12,60,-0.0013140273632650445,-0.0012844976526810877,-0.0013140273632650445,0.16666666666666666,-0.0014043675874953728,True,by_event_type,CPI,,
down,9,1,5,0.0004537872637771031,0.0002514949980439208,-0.0004537872637771031,1.0,0.00036344703954677485,True,by_event_type,ECB,,
down,9,3,15,0.00043741181389469623,0.00045296830127842776,-0.00043741181389469623,0.7777777777777778,0.0003470715896643679,True,by_event_type,ECB,,
down,9,6,30,0.00044576559751280387,0.0002954973589924445,-0.00044576559751280387,0.6666666666666666,0.0003554253732824756,True,by_event_type,ECB,,
down,9,12,60,0.00011481769387317659,-0.0003021043727450692,-0.00011481769387317659,0.3333333333333333,2.4477469642848296e-05,True,by_event_type,ECB,,
up,7,1,5,0.0003006163486765773,0.0002690393373946019,0.0003006163486765773,1.0,0.00021027612444624903,True,by_event_type,ECB,,
up,7,3,15,0.0002218777661922917,0.00014697101915230794,0.0002218777661922917,0.7142857142857143,0.0001315375419619634,True,by_event_type,ECB,,
up,7,6,30,0.0003418102578517148,0.0006629897957223509,0.0003418102578517148,0.5714285714285714,0.00025147003362138655,True,by_event_type,ECB,,
up,7,12,60,-0.00010575352398269719,0.0002402136941023536,-0.00010575352398269719,0.7142857142857143,-0.0001960937482130255,True,by_event_type,ECB,,
down,7,1,5,0.0005462497322377427,0.00018500874166302322,-0.0005462497322377427,1.0,0.00045590950800741446,True,by_event_type,FOMC,,
down,7,3,15,0.0005100286793636606,0.00043150936467129127,-0.0005100286793636606,0.8571428571428571,0.0004196884551333324,True,by_event_type,FOMC,,
down,7,6,30,0.00018648858776294317,0.0,-0.00018648858776294317,0.42857142857142855,9.614836353261487e-05,True,by_event_type,FOMC,,
down,7,12,60,-0.0002457814904903818,-0.0013312522952625334,0.0002457814904903818,0.2857142857142857,-0.0003361217147207101,True,by_event_type,FOMC,,
up,9,1,5,0.0005467813251272663,0.00045703429549508504,0.0005467813251272663,1.0,0.0004564411008969381,True,by_event_type,FOMC,,
up,9,3,15,0.0004960378691870175,0.0005215350515015289,0.0004960378691870175,0.8888888888888888,0.0004056976449566892,True,by_event_type,FOMC,,
up,9,6,30,0.0005612417186118502,0.00043706293706294606,0.0005612417186118502,0.7777777777777778,0.00047090149438152196,True,by_event_type,FOMC,,
up,9,12,60,-0.0022742612520062684,-0.002590376838154262,-0.0022742612520062684,0.2222222222222222,-0.0023646014762365966,True,by_event_type,FOMC,,
down,9,1,5,0.0007064435734061907,0.0006999963158089506,-0.0007064435734061907,1.0,0.0006161033491758624,True,by_event_type,NFP,,
down,9,3,15,0.0004968890928456816,0.0004557285960930703,-0.0004968890928456816,0.7777777777777778,0.0004065488686153533,True,by_event_type,NFP,,
down,9,6,30,0.0007478312255900544,0.0014851439482691257,-0.0007478312255900544,0.6666666666666666,0.0006574910013597261,True,by_event_type,NFP,,
down,9,12,60,0.0007012609404172636,0.001332304243159466,-0.0007012609404172636,0.6666666666666666,0.0006109207161869353,True,by_event_type,NFP,,
up,15,1,5,0.0006569707317284775,0.0004222024595538761,0.0006569707317284775,1.0,0.0005666305074981492,True,by_event_type,NFP,,
up,15,3,15,0.00030067344235840696,-8.648125086537907e-06,0.00030067344235840696,0.4666666666666667,0.00021033321812807866,True,by_event_type,NFP,,
up,15,6,30,0.00042840314539895264,0.00030047014740712557,0.00042840314539895264,0.5333333333333333,0.0003380629211686243,True,by_event_type,NFP,,
up,15,12,60,0.0007154650716438797,0.0007869793828697648,0.0007154650716438797,0.5333333333333333,0.0006251248474135515,True,by_event_type,NFP,,
down,20,1,5,0.0006013211500607732,0.0004093473370621827,-0.0006013211500607732,1.0,0.0005109809258304449,True,by_trend,,trend_agrees,
down,20,3,15,0.0003449117900126557,0.00023081970258811914,-0.0003449117900126557,0.75,0.00025457156578232744,True,by_trend,,trend_agrees,
down,20,6,30,0.0003613092469600691,3.1814401919894756e-05,-0.0003613092469600691,0.55,0.00027096902272974075,True,by_trend,,trend_agrees,
down,20,12,60,0.00034711238354328297,0.0001781521867488501,-0.00034711238354328297,0.5,0.0002567721593129547,True,by_trend,,trend_agrees,
up,19,1,5,0.00045262573828123103,0.0003324609784581401,0.00045262573828123103,1.0,0.0003622855140509027,True,by_trend,,trend_agrees,
up,19,3,15,0.00028353589389938145,0.00020501351225431835,0.00028353589389938145,0.6842105263157895,0.00019319566966905316,True,by_trend,,trend_agrees,
up,19,6,30,0.00025530420104938345,0.00038208706374774957,0.00025530420104938345,0.5263157894736842,0.00016496397681905515,True,by_trend,,trend_agrees,
up,19,12,60,-0.00012383434043963617,0.0003052841918296362,-0.00012383434043963617,0.5789473684210527,-0.00021417456466996446,True,by_trend,,trend_agrees,
down,27,1,5,0.00044953257375598824,0.0002514949980439208,-0.00044953257375598824,1.0,0.00035919234952566,True,by_trend,,trend_disagrees,
down,27,3,15,0.0003836232580658153,0.00043150936467129127,-0.0003836232580658153,0.6296296296296297,0.000293283033835487,True,by_trend,,trend_disagrees,
down,27,6,30,0.0005764734897577012,0.0005986068785371162,-0.0005764734897577012,0.5925925925925926,0.0004861332655273729,True,by_trend,,trend_disagrees,
down,27,12,60,0.0002475097520593473,0.0002486874827302335,-0.0002475097520593473,0.5925925925925926,0.000157169527829019,True,by_trend,,trend_disagrees,
up,26,1,5,0.0004311609205570095,0.00019645681845128596,0.0004311609205570095,1.0,0.00034082069632668124,True,by_trend,,trend_disagrees,
up,26,3,15,0.00023843963395221701,4.6975137782237513e-05,0.00023843963395221701,0.5769230769230769,0.00014809940972188872,True,by_trend,,trend_disagrees,
up,26,6,30,0.00022868988581150468,0.0002938644576640523,0.00022868988581150468,0.5769230769230769,0.00013834966158117638,True,by_trend,,trend_disagrees,
up,26,12,60,-0.0004137399360003991,-0.0007589128759097391,-0.0004137399360003991,0.4230769230769231,-0.0005040801602307274,True,by_trend,,trend_disagrees,
down,2,1,5,0.00025287534580808774,0.00025287534580808774,-0.00025287534580808774,1.0,0.00016253512157775944,False,event_x_trend,BoE,trend_agrees,
down,2,3,15,-6.869423221565358e-05,-6.869423221565358e-05,6.869423221565358e-05,0.5,-0.00015903445644598188,False,event_x_trend,BoE,trend_agrees,
down,2,6,30,-0.0006580814321940307,-0.0006580814321940307,0.0006580814321940307,0.5,-0.000748421656424359,False,event_x_trend,BoE,trend_agrees,
down,2,12,60,-0.00011579089660301143,-0.00011579089660301143,0.00011579089660301143,0.0,-0.00020613112083333972,False,event_x_trend,BoE,trend_agrees,
up,4,1,5,0.00017328520029707663,0.0001252277870441555,0.00017328520029707663,1.0,8.294497606674834e-05,False,event_x_trend,BoE,trend_agrees,
up,4,3,15,0.0005479960062483433,0.0006413120902468497,0.0005479960062483433,1.0,0.0004576557820180151,False,event_x_trend,BoE,trend_agrees,
up,4,6,30,0.0009172913631012946,0.0008653263011575337,0.0009172913631012946,0.75,0.0008269511388709663,False,event_x_trend,BoE,trend_agrees,
up,4,12,60,0.001270270209238841,0.0012882803931992728,0.001270270209238841,1.0,0.0011799299850085128,False,event_x_trend,BoE,trend_agrees,
down,2,1,5,0.00018684161737180123,0.00018684161737180123,-0.00018684161737180123,1.0,9.650139314147294e-05,False,event_x_trend,BoE,trend_disagrees,
down,2,3,15,0.0002597995492506168,0.0002597995492506168,-0.0002597995492506168,1.0,0.0001694593250202885,False,event_x_trend,BoE,trend_disagrees,
down,2,6,30,0.0016932469307184687,0.0016932469307184687,-0.0016932469307184687,1.0,0.0016029067064881404,False,event_x_trend,BoE,trend_disagrees,
down,2,12,60,0.0021135241500190526,0.0021135241500190526,-0.0021135241500190526,1.0,0.0020231839257887243,False,event_x_trend,BoE,trend_disagrees,
up,4,1,5,8.035893470199116e-05,7.57755434878136e-05,8.035893470199116e-05,1.0,-9.981289528337135e-06,False,event_x_trend,BoE,trend_disagrees,
up,4,3,15,0.00012527832739205497,-3.2355546603569574e-05,0.00012527832739205497,0.25,3.4938103161726676e-05,False,event_x_trend,BoE,trend_disagrees,
up,4,6,30,-0.00021149285969799224,-1.6459169711705775e-05,-0.00021149285969799224,0.5,-0.0003018330839283205,False,event_x_trend,BoE,trend_disagrees,
up,4,12,60,4.241059988713546e-05,0.0003730131043399223,4.241059988713546e-05,0.5,-4.7929624343192836e-05,False,event_x_trend,BoE,trend_disagrees,
down,6,1,5,0.0005760146615131985,0.0004759034047355173,-0.0005760146615131985,1.0,0.00048567443728287025,True,event_x_trend,CPI,trend_agrees,
down,6,3,15,7.956324998268662e-06,-4.712002385743433e-05,-7.956324998268662e-06,0.5,-8.238389923205964e-05,True,event_x_trend,CPI,trend_agrees,
down,6,6,30,0.00016340889306900113,-8.24649234813765e-05,-0.00016340889306900113,0.5,7.306866883867284e-05,True,event_x_trend,CPI,trend_agrees,
down,6,12,60,0.0002969700911706361,0.000529985808734569,-0.0002969700911706361,0.8333333333333334,0.00020662986694030782,True,event_x_trend,CPI,trend_agrees,
up,3,1,5,0.00036057662287381154,7.517595872826518e-05,0.00036057662287381154,1.0,0.0002702363986434832,False,event_x_trend,CPI,trend_agrees,
up,3,3,15,-5.9844981032591695e-05,2.581422363720216e-05,-5.9844981032591695e-05,0.6666666666666666,-0.00015018520526292,False,event_x_trend,CPI,trend_agrees,
up,3,6,30,-0.0007597064013108794,-0.0008346598976035068,-0.0007597064013108794,0.0,-0.0008500466255412076,False,event_x_trend,CPI,trend_agrees,
up,3,12,60,-0.0015117521255353478,-0.00150150150150158,-0.0015117521255353478,0.3333333333333333,-0.0016020923497656761,False,event_x_trend,CPI,trend_agrees,
down,12,1,5,0.0004635379114061946,0.00021626365018531543,-0.0004635379114061946,1.0,0.00037319768717586626,True,event_x_trend,CPI,trend_disagrees,
down,12,3,15,0.0004039338556467971,0.00028530598874700676,-0.0004039338556467971,0.5,0.00031359363141646884,True,event_x_trend,CPI,trend_disagrees,
down,12,6,30,0.0006410327737441753,0.00019798631667489186,-0.0006410327737441753,0.5,0.0005506925495138471,True,event_x_trend,CPI,trend_disagrees,
down,12,12,60,0.00018529055395257062,0.0003015460199271079,-0.00018529055395257062,0.6666666666666666,9.495032972224232e-05,True,event_x_trend,CPI,trend_disagrees,
up,3,1,5,0.00027795307013311004,0.0001618195711781984,0.00027795307013311004,1.0,0.00018761284590278175,False,event_x_trend,CPI,trend_disagrees,
up,3,3,15,-0.00048484558200774384,-0.0009529374747157468,-0.00048484558200774384,0.3333333333333333,-0.0005751858062380722,False,event_x_trend,CPI,trend_disagrees,
up,3,6,30,-0.0012057508040320367,-0.0022088222410691664,-0.0012057508040320367,0.3333333333333333,-0.001296091028262365,False,event_x_trend,CPI,trend_disagrees,
up,3,12,60,-0.0011163026009947412,-0.0011057670697171235,-0.0011163026009947412,0.0,-0.0012066428252250694,False,event_x_trend,CPI,trend_disagrees,
down,3,1,5,0.00034305457692753084,0.00024168349819586374,-0.00034305457692753084,1.0,0.0002527143526972025,False,event_x_trend,ECB,trend_agrees,
down,3,3,15,0.0004805592782437807,0.00045296830127842776,-0.0004805592782437807,1.0,0.0003902190540134524,False,event_x_trend,ECB,trend_agrees,
down,3,6,30,0.00030104817855888425,4.5296830127923244e-05,-0.00030104817855888425,0.6666666666666666,0.00021070795432855596,False,event_x_trend,ECB,trend_agrees,
down,3,12,60,-0.0007253983565570568,-0.0006069775237128438,0.0007253983565570568,0.0,-0.0008157385807873851,False,event_x_trend,ECB,trend_agrees,
up,2,1,5,0.0004102349510248966,0.0004102349510248966,0.0004102349510248966,1.0,0.00031989472679456836,False,event_x_trend,ECB,trend_agrees,
up,2,3,15,0.0001185774652051009,0.0001185774652051009,0.0001185774652051009,0.5,2.82372409747726e-05,False,event_x_trend,ECB,trend_agrees,
up,2,6,30,0.00045379061023066583,0.00045379061023066583,0.00045379061023066583,0.5,0.00036345038600033757,False,event_x_trend,ECB,trend_agrees,
up,2,12,60,-0.0006179746642479651,-0.0006179746642479651,-0.0006179746642479651,0.5,-0.0007083148884782934,False,event_x_trend,ECB,trend_agrees,
down,6,1,5,0.0005091536072018892,0.00033191795158893806,-0.0005091536072018892,1.0,0.0004188133829715609,True,event_x_trend,ECB,trend_disagrees,
down,6,3,15,0.0004158380817201539,0.0005030266117410662,-0.0004158380817201539,0.6666666666666666,0.00032549785748982557,True,event_x_trend,ECB,trend_disagrees,
down,6,6,30,0.0005181243069897638,0.0004501320099278437,-0.0005181243069897638,0.6666666666666666,0.00042778408275943554,True,event_x_trend,ECB,trend_disagrees,
down,6,12,60,0.0005349257190882933,7.77087123059494e-05,-0.0005349257190882933,0.5,0.000444585494857965,True,event_x_trend,ECB,trend_disagrees,
up,5,1,5,0.00025676890773724956,0.00015844094113925112,0.00025676890773724956,1.0,0.00016642868350692127,True,event_x_trend,ECB,trend_disagrees,
up,5,3,15,0.000263197886587168,0.00014697101915230794,0.000263197886587168,0.8,0.0001728576623568397,True,event_x_trend,ECB,trend_disagrees,
up,5,6,30,0.0002970181169001344,0.0006629897957223509,0.0002970181169001344,0.6,0.0002066778926698061,True,event_x_trend,ECB,trend_disagrees,
up,5,12,60,9.913493212340996e-05,0.0002402136941023536,9.913493212340996e-05,0.8,8.794707893081661e-06,True,event_x_trend,ECB,trend_disagrees,
down,3,1,5,0.0009923139801968016,0.00094455199244375,-0.0009923139801968016,1.0,0.0009019737559664734,False,event_x_trend,FOMC,trend_agrees,
down,3,3,15,0.0007095803725424253,0.0007575119939398829,-0.0007095803725424253,1.0,0.000619240148312097,False,event_x_trend,FOMC,trend_agrees,
down,3,6,30,0.0001759746737824121,0.0,-0.0001759746737824121,0.3333333333333333,8.56344495520838e-05,False,event_x_trend,FOMC,trend_agrees,
down,3,12,60,0.000763491206789172,-0.0012208721064368628,-0.000763491206789172,0.3333333333333333,0.0006731509825588437,False,event_x_trend,FOMC,trend_agrees,
up,4,1,5,0.0007703064064721576,0.0006901764227976283,0.0007703064064721576,1.0,0.0006799661822418293,False,event_x_trend,FOMC,trend_agrees,
up,4,3,15,0.000673219565357739,0.0006686047272307155,0.000673219565357739,1.0,0.0005828793411274107,False,event_x_trend,FOMC,trend_agrees,
up,4,6,30,0.0001911282843695851,0.00046191449256559704,0.0001911282843695851,0.75,0.00010078806013925681,False,event_x_trend,FOMC,trend_agrees,
up,4,12,60,-0.0007684343693965932,-0.0008286373740076774,-0.0007684343693965932,0.5,-0.0008587745936269215,False,event_x_trend,FOMC,trend_agrees,
down,4,1,5,0.0002117015462684484,0.00012482917041776087,-0.0002117015462684484,1.0,0.00012136132203812011,False,event_x_trend,FOMC,trend_disagrees,
down,4,3,15,0.000360364909479587,0.0002203799008771493,-0.000360364909479587,0.75,0.0002700246852492587,False,event_x_trend,FOMC,trend_disagrees,
down,4,6,30,0.00019437402324834154,-9.131904270928415e-05,-0.00019437402324834154,0.5,0.00010403379901801325,False,event_x_trend,FOMC,trend_disagrees,
down,4,12,60,-0.0010027360134500472,-0.001567543763238659,0.0010027360134500472,0.25,-0.0010930762376803755,False,event_x_trend,FOMC,trend_disagrees,
up,5,1,5,0.00036796126005135316,0.00039648625073795913,0.00036796126005135316,1.0,0.0002776210358210249,True,event_x_trend,FOMC,trend_disagrees,
up,5,3,15,0.0003542925122504403,1.7181392551788134e-05,0.0003542925122504403,0.8,0.000263952288020112,True,event_x_trend,FOMC,trend_disagrees,
up,5,6,30,0.0008573324660056624,0.0003264464584855006,0.0008573324660056624,0.8,0.0007669922417753341,True,event_x_trend,FOMC,trend_disagrees,
up,5,12,60,-0.003478922758094009,-0.002590376838154262,-0.003478922758094009,0.0,-0.0035692629823243375,True,event_x_trend,FOMC,trend_disagrees,
down,6,1,5,0.0006764131115245166,0.0005935588476925458,-0.0006764131115245166,1.0,0.0005860728872941883,True,event_x_trend,NFP,trend_agrees,
down,6,3,15,0.0005695778937226988,0.00034717671761711096,-0.0005695778937226988,0.8333333333333334,0.0004792376694923705,True,event_x_trend,NFP,trend_agrees,
down,6,6,30,0.0010218043146919245,0.0008947493407167608,-0.0010218043146919245,0.6666666666666666,0.0009314640904615962,True,event_x_trend,NFP,trend_agrees,
down,6,12,60,0.0008796217277252533,0.0010326116959752285,-0.0008796217277252533,0.6666666666666666,0.0007892815034949251,True,event_x_trend,NFP,trend_agrees,
up,6,1,5,0.00048722047159920366,0.0003965937017660448,0.00048722047159920366,1.0,0.00039688024736887534,True,event_x_trend,NFP,trend_agrees,
up,6,3,15,7.411661839191521e-05,-0.00012388078301052834,7.411661839191521e-05,0.3333333333333333,-1.6223605838413085e-05,True,event_x_trend,NFP,trend_agrees,
up,6,6,30,0.00029810653558767883,0.0001245970964588369,0.00029810653558767883,0.5,0.00020776631135735054,True,event_x_trend,NFP,trend_agrees,
up,6,12,60,0.0002351683128966487,0.0002647420625370621,0.0002351683128966487,0.5,0.0001448280886663204,True,event_x_trend,NFP,trend_agrees,
down,3,1,5,0.0007665044971695388,0.0006999963158089506,-0.0007665044971695388,1.0,0.0006761642729392106,False,event_x_trend,NFP,trend_disagrees,
down,3,3,15,0.0003515114910916475,0.0008117556984327505,-0.0003515114910916475,0.6666666666666666,0.0002611712668613192,False,event_x_trend,NFP,trend_disagrees,
down,3,6,30,0.0001998850473863136,0.0014851439482691257,-0.0001998850473863136,0.6666666666666666,0.00010954482315598532,False,event_x_trend,NFP,trend_disagrees,
down,3,12,60,0.00034453936580128405,0.0015589399208539958,-0.00034453936580128405,0.6666666666666666,0.0002541991415709558,False,event_x_trend,NFP,trend_disagrees,
up,9,1,5,0.00077013757181466,0.0004222024595538761,0.00077013757181466,1.0,0.0006797973475843318,True,event_x_trend,NFP,trend_disagrees,
up,9,3,15,0.0004517113250027348,7.676888301268689e-05,0.0004517113250027348,0.5555555555555556,0.00036137110077240646,True,event_x_trend,NFP,trend_disagrees,
up,9,6,30,0.0005152675519398017,0.00030047014740712557,0.0005152675519398017,0.5555555555555556,0.00042492732770947346,True,event_x_trend,NFP,trend_disagrees,
up,9,12,60,0.0010356629108087,0.0011965109375712858,0.0010356629108087,0.5555555555555556,0.0009453226865783718,True,event_x_trend,NFP,trend_disagrees,
down,22,1,5,0.0005320457055194376,0.00031749960190328693,-0.0005320457055194376,1.0,0.0004417054812891093,True,by_vol_regime,,,high_vol
down,22,3,15,0.0005127865262610043,0.00045003526001161087,-0.0005127865262610043,0.6818181818181818,0.000422446302030676,True,by_vol_regime,,,high_vol
down,22,6,30,0.0006472463076680288,0.0004470521187647803,-0.0006472463076680288,0.6363636363636364,0.0005569060834377006,True,by_vol_regime,,,high_vol
down,22,12,60,0.0003443194712690332,0.0003158480747073263,-0.0003443194712690332,0.5454545454545454,0.0002539792470387049,True,by_vol_regime,,,high_vol
up,24,1,5,0.00033678769700669467,0.00016013025615872477,0.00033678769700669467,1.0,0.00024644747277636635,True,by_vol_regime,,,high_vol
up,24,3,15,0.0005114238642538101,0.00036327428187792364,0.0005114238642538101,0.7083333333333334,0.00042108364002348185,True,by_vol_regime,,,high_vol
up,24,6,30,0.00045854125773480244,0.00039361809773768685,0.00045854125773480244,0.5833333333333334,0.0003682010335044741,True,by_vol_regime,,,high_vol
up,24,12,60,0.00012234123709311002,0.00019402418898353227,0.00012234123709311002,0.5833333333333334,3.200101286278173e-05,True,by_vol_regime,,,high_vol
down,25,1,5,0.0004983518788479809,0.0003574734873829187,-0.0004983518788479809,1.0,0.0004080116546176526,True,by_vol_regime,,,low_vol
down,25,3,15,0.00023899040761152126,0.0002307159886180285,-0.00023899040761152126,0.68,0.00014865018338119297,True,by_vol_regime,,,low_vol
down,25,6,30,0.00034206201575850715,1.8331973711866268e-05,-0.00034206201575850715,0.52,0.00025172179152817883,True,by_vol_regime,,,low_vol
down,25,12,60,0.0002419993043419723,0.0002015888869543465,-0.0002419993043419723,0.56,0.000151659080111644,True,by_vol_regime,,,low_vol
up,21,1,5,0.0005584365825554744,0.0004222024595538761,0.0005584365825554744,1.0,0.0004680963583251461,True,by_vol_regime,,,low_vol
up,21,3,15,-3.274096548788352e-05,1.7181392551788134e-05,-3.274096548788352e-05,0.5238095238095238,-0.00012308118971821183,True,by_vol_regime,,,low_vol
up,21,6,30,-9.917777837993009e-06,0.000287258767920979,-9.917777837993009e-06,0.5238095238095238,-0.0001002580020683213,True,by_vol_regime,,,low_vol
up,21,12,60,-0.000764108594980862,-0.0008140234031728336,-0.000764108594980862,0.38095238095238093,-0.0008544488192111903,True,by_vol_regime,,,low_vol
