month,net_ret,n_trades,win_rate,avg_pip
2024-01,0.0021059255856683556,1,1.0,21.059255856683
2024-02,-0.00022775310834810547,1,0.0,-2.277531083481114
2024-03,-0.0012941925043216118,1,0.0,-12.941925043216001
2024-04,0.0013369138769350197,1,1.0,13.36913876935
2024-05,0.0013629205540899303,2,0.5,6.8181585662545
2024-06,-0.0010818261149128094,1,0.0,-10.818261149128002
2024-08,-0.0009080610021785507,1,0.0,-9.080610021786
2024-09,0.0012115942905948085,4,0.5,3.036359590350558
2024-10,-0.0005603470419202061,1,0.0,-5.603470419202001
2024-11,-0.0015703039499701532,1,0.0,-15.703039499701001
2024-12,0.0010290045063499065,1,1.0,10.290045063498
2025-01,0.0036226065838678156,3,0.6666666666666666,12.070756453697667
2025-02,-0.0009222041414883586,2,0.0,-4.61205399485
2025-03,0.0038935198983267583,3,1.0,12.966068262203331
2025-04,0.0030913237491836387,2,1.0,15.4452859140345
2025-05,0.0004970270267441457,4,0.5,1.24284627667525
2025-06,0.0012636182947938224,3,0.6666666666666666,4.213018137970333
2025-07,-0.0005711568008011092,1,0.0,-5.711568008011
2025-08,0.004912724283366421,3,1.0,16.351711000233998
2025-09,0.0021218296874154774,3,0.6666666666666666,7.070161613922229
2025-10,-0.0007401651361987893,1,0.0,-7.401651361988
2025-11,0.00035348000553470094,1,1.0,3.5348000553470005
2025-12,-2.772311167720254e-05,2,0.5,-0.13747188590599993
