event_name,event_time_utc,bar_time_utc,bar_lag_min,close_at_T,ret_1,ret_3,ret_6,ret_12,initial_move,pre_vol,trend_label,trend_strength,dir_ret_1,dir_ret_3,dir_ret_6,dir_ret_12,behavior_6,trend_agrees
CPI,2024-01-11 13:30:00+00:00,2024-01-11 13:30:00+00:00,0.0,1.09657,-0.00011855148326140919,-0.0015594079721313735,-0.002854354943140955,-0.00010031279352896258,-1,0.00022783913187024194,up,0.0033514814791117953,0.00011855148326140919,0.0015594079721313735,0.002854354943140955,0.00010031279352896258,drift,False
NFP,2024-01-05 13:30:00+00:00,2024-01-05 13:30:00+00:00,0.0,1.08976,0.00019270298047280453,0.0015691528409924004,0.0031933636764057477,0.004505579210101279,1,0.00015326508847459316,down,-0.0012108028800136283,0.00019270298047280453,0.0015691528409924004,0.0031933636764057477,0.004505579210101279,drift,False
FOMC,2024-01-31 19:00:00+00:00,2024-01-31 19:00:00+00:00,0.0,1.08245,0.0006743960460068543,0.0006836343480070072,0.0011547877500117285,-0.001866137004018579,1,0.00016189785330955486,down,-0.0043194539048360125,0.0006743960460068543,0.0006836343480070072,0.0011547877500117285,-0.001866137004018579,drift,False
ECB,2024-01-25 13:45:00+00:00,2024-01-25 13:45:00+00:00,0.0,1.0885,-0.0015066605420303958,-0.0022232429949472564,-0.0023059255856683622,-0.002774460266421702,-1,0.0002661204263567023,up,0.00034789734352247415,0.0015066605420303958,0.0022232429949472564,0.0023059255856683622,0.002774460266421702,drift,False
BoE,2024-02-01 12:00:00+00:00,2024-02-01 12:00:00+00:00,0.0,1.08096,0.00015726761397276819,0.0006660746003552897,-2.7753108348111394e-05,0.0003052841918296362,1,0.00025618783334727146,up,0.00042044567241283914,0.00015726761397276819,0.0006660746003552897,-2.7753108348111394e-05,0.0003052841918296362,reversion,True
CPI,2024-02-13 13:30:00+00:00,2024-02-13 13:30:00+00:00,0.0,1.07297,0.000158438726152645,-0.001975824114374027,-0.0022088222410691664,-0.0014632282356450519,1,0.0001696124935735245,down,-0.0037425481053005027,0.000158438726152645,-0.001975824114374027,-0.0022088222410691664,-0.0014632282356450519,reversion,False
NFP,2024-02-02 13:30:00+00:00,2024-02-02 13:30:00+00:00,0.0,1.08222,-0.00022176636913013803,-0.001145792907172209,-0.002217663691301175,-0.0020513389144535205,-1,0.00016593484183660565,down,-0.004957293367960358,0.00022176636913013803,0.001145792907172209,0.002217663691301175,0.0020513389144535205,drift,True
FOMC,2024-03-20 18:00:00+00:00,2024-03-20 18:00:00+00:00,0.0,1.08845,-0.0005512425926776002,-0.0011392346915337478,-0.001626165648398941,0.002048784969452135,-1,0.00010437857796806082,up,0.0035911077157855242,0.0005512425926776002,0.0011392346915337478,0.001626165648398941,-0.002048784969452135,drift,False
ECB,2024-03-07 13:45:00+00:00,2024-03-07 13:45:00+00:00,0.0,1.08756,-0.00047813453970362637,0.0009010997094413006,0.001094192504321623,0.0022803339585860233,-1,0.00035034660237450295,up,0.0028995691362869724,0.00047813453970362637,-0.0009010997094413006,-0.001094192504321623,-0.0022803339585860233,reversion,False
BoE,2024-03-21 12:00:00+00:00,2024-03-21 12:00:00+00:00,0.0,1.09099,-0.0003574734873829187,0.00014665578969574425,-1.8331973711866268e-05,9.165986856034898e-06,-1,0.00016272469308104627,down,-0.0014012724871305116,0.0003574734873829187,-0.00014665578969574425,1.8331973711866268e-05,-9.165986856034898e-06,drift,True
