event_name,country,event_time_utc,bar_time_utc,bar_lag_min,close_at_T,ret_6_to_1,ret_12_to_1,ret_12_to_6,drift_dir_6,drift_dir_12,momentum_signal,pre_vol,trend_label,trend_strength
CPI,US,2025-02-12 13:30:00+00:00,2025-02-12 13:30:00+00:00,0.0,1.03243,-0.000674770337096121,-0.0008866529813706807,-0.00021202571293635081,-1,-1,-1,0.00017969697085422906,down,-0.002188322969875256
NFP,US,2025-02-07 13:30:00+00:00,2025-02-07 13:30:00+00:00,0.0,1.03688,-9.638554216866407e-05,0.0004532610687319226,0.0005496995939939837,-1,1,1,0.0001863692569840947,up,0.0026326318780407476
FOMC,US,2025-03-19 18:00:00+00:00,2025-03-19 18:00:00+00:00,0.0,1.0892,0.0003589441519715353,-0.001176265174280179,-0.0015346584695687887,1,-1,-1,0.00023098733363180067,up,0.006004218577364773
ECB,EU,2025-03-06 13:45:00+00:00,2025-03-06 13:45:00+00:00,0.0,1.08292,-0.000701922899311094,0.0024273643640674515,0.0031314853246367648,-1,1,1,0.00037635996739478526,up,0.005104163777081228
CPI,US,2025-03-12 12:30:00+00:00,2025-03-12 12:30:00+00:00,0.0,1.0906,-0.0006239104505000586,-0.0015857738668133363,-0.0009624639076034606,-1,-1,-1,0.00024548349022145843,up,0.001912273863297731
NFP,US,2025-03-07 13:30:00+00:00,2025-03-07 13:30:00+00:00,0.0,1.08834,0.0006266761282472346,0.0013372436181200674,0.0007101224730708273,1,1,1,0.00028446966119414683,down,-0.0017403092254708596
FOMC,US,2025-05-07 18:00:00+00:00,2025-05-07 18:00:00+00:00,0.0,1.13497,-6.172077521294946e-05,-0.00044950554390171734,-0.0003878087045426466,-1,-1,-1,0.0003295070570037479,down,-0.004668725957987951
ECB,EU,2025-04-17 13:45:00+00:00,2025-04-17 13:45:00+00:00,0.0,1.13607,-1.7606408732698604e-05,0.0005461063498075988,0.000563722683672278,-1,1,1,0.000419420423472301,down,-0.0011807788787498996
BoE,UK,2025-03-20 12:00:00+00:00,2025-03-20 12:00:00+00:00,0.0,1.08528,0.00046107171509451503,0.0003872716710771361,-7.376603258621866e-05,1,1,-1,0.0004467390364884257,up,0.014885765152635289
CPI,US,2025-04-10 12:30:00+00:00,2025-04-10 12:30:00+00:00,0.0,1.11235,0.0022121696418091604,0.0022121696418091604,0.0,1,1,0,0.0006256459587947987,down,-0.0007474761687011888
NFP,US,2025-04-04 12:30:00+00:00,2025-04-04 12:30:00+00:00,0.0,1.10553,0.0021615266347111465,0.002052775316055049,-0.00010851675679597042,1,1,-1,0.0008568668286972026,up,0.0014789643183283907
CPI,US,2025-05-14 12:30:00+00:00,2025-05-14 12:30:00+00:00,0.0,1.12269,0.0002673415555713686,0.00018712408108714055,-8.019603475154687e-05,1,1,-1,0.0004113920637688253,down,-0.003297804725178488
NFP,US,2025-05-02 12:30:00+00:00,2025-05-02 12:30:00+00:00,0.0,1.13156,-0.0006701349087382892,-0.0004145315352660238,0.00025577477707916095,-1,-1,1,0.00034805463831678055,down,-0.0028531023073757877
FOMC,US,2025-06-18 18:00:00+00:00,2025-06-18 18:00:00+00:00,0.0,1.15045,-6.95791332178244e-05,-0.0006171766342141763,-0.0005476356050070674,-1,-1,-1,0.0003478157762894862,up,0.002929627186367245
ECB,EU,2025-06-05 13:45:00+00:00,2025-06-05 13:45:00+00:00,0.0,1.14752,0.0015523616828297395,0.004706746920492669,0.003149496080627141,1,1,1,0.00034785791753765813,up,0.0027411478107197684
BoE,UK,2025-05-08 12:00:00+00:00,2025-05-08 12:00:00+00:00,0.0,1.12967,0.0006289531031305817,0.0003010901233584008,-0.00032765689894882484,1,1,-1,0.0003532527442791457,down,-0.0025765932605983366
CPI,US,2025-06-11 12:30:00+00:00,2025-06-11 12:30:00+00:00,0.0,1.14763,-5.24773691347103e-05,0.0003237321947292737,0.0003762293073882271,-1,1,1,0.00015295234062928607,up,0.005474045323869969
NFP,US,2025-06-06 12:30:00+00:00,2025-06-06 12:30:00+00:00,0.0,1.14103,-0.0007445625038323223,-0.0017676193143036376,-0.0010238191077896826,-1,-1,-1,0.00013026258289825508,down,-0.0034073251845886388
FOMC,US,2025-07-30 18:00:00+00:00,2025-07-30 18:00:00+00:00,0.0,1.14879,0.0003485352804839221,0.0003485352804839221,0.0,1,1,0,0.00026756342950444347,down,-0.0023708626579797
